url,expert_sentiment_mean,expert_positive_ratio,expert_review_count,expert_svd_0,expert_svd_1,expert_svd_2,expert_svd_3,expert_svd_4,expert_svd_5,expert_svd_6,expert_svd_7,expert_svd_8,expert_svd_9
https://www.metacritic.com/movie/!women-art-revolution,0.6322415633635088,0.8181818181818182,11,-10.773335777722298,15.095739767604124,11.947521396647225,-10.874720359035582,-1.7949028319182823,-5.203412137227434,2.2188004586642522,-1.3557556905924888,-8.326766900822724,2.978259867467938
https://www.metacritic.com/movie/10-cloverfield-lane,0.847179441951042,0.9302325581395348,43,-0.8275953854393304,-8.225911619843043,-0.8443471619280043,3.30954363163609,0.41088348957579446,5.6052939102225725,4.5916789927371795,-0.2055408750407931,2.697174785550412,1.5926882537596945
https://www.metacritic.com/movie/10-items-or-less,-0.2891100615262985,0.35,20,13.671183507802292,7.529377418839601,0.15208243409566763,-3.322744557120141,-3.221169439390172,-3.481518004796243,1.2039407304485008,-1.8171234445059388,3.258681677375069,-4.685710077111237
https://www.metacritic.com/movie/10-years,0.3359334369500478,0.6666666666666666,18,0.23276568350128415,-5.105392180344689,-0.8536978927431743,-8.055424230888839,0.9019039161091551,1.7883168417375788,3.602342658462507,-4.567110383982421,2.008547522064021,-0.061452054829575165
https://www.metacritic.com/movie/100-bloody-acres,0.7890726387500763,0.9,10,4.868342160259027,-16.088471772476215,3.1462675976998433,2.94028108499372,-7.799055275420781,0.8054099396867311,-0.3489090488815363,0.8915972727229815,-2.6266729541330553,1.8697520425606085
https://www.metacritic.com/movie/100-streets,-0.016505812605222,0.5,12,-1.08501492557181,3.39394787945817,-5.768879556533015,2.0463644573623028,-4.1620475601684,-2.0725263831140044,1.9094415776170865,-4.80908643134022,7.2322950045826015,-10.629219098630687
https://www.metacritic.com/movie/1000-times-good-night,0.2668550095774911,0.6363636363636364,22,-11.277907078990543,7.358602817745213,-8.498646123390067,-0.9891354250880636,0.38767689378263714,-0.9496874056111302,2.1396527371725407,-0.8011357937212579,-1.3770299227736258,4.151580315995551
https://www.metacritic.com/movie/10000-bc,-0.4345084120487344,0.2758620689655172,29,9.767728141915839,-7.4228472131206615,15.110030046928454,1.3365196312786924,-0.641357926536934,4.670068775975513,-9.313665359422721,1.2162557426329572,2.711106929972385,2.8371555563430078
https://www.metacritic.com/movie/10000-km,0.351546843846639,0.6666666666666666,12,-4.884890495086568,10.035364791504156,0.5013431235420307,-5.462225084907791,-5.729509516153883,4.086800170267237,-3.49147251152307,-6.122901729471094,3.1083060771001723,-3.046007087662222
https://www.metacritic.com/movie/1001-grams,0.7157477821622577,0.8571428571428571,7,1.2361485611473229,15.631112773458772,-6.082056901442608,-6.132900839774878,-9.945391685784696,-2.317214674661097,3.3693996647306306,3.7970985827996238,4.410576795601641,-3.7243799489637173
https://www.metacritic.com/movie/101-reykjavik,0.2035522659619649,0.6,15,23.90988408021395,22.461482072090753,-6.433987584588416,4.5499190765958835,18.532095675799724,3.9414298017802434,0.6662707265912196,-2.6291112553823575,-7.323826864202156,-4.096215067787911
https://www.metacritic.com/movie/102-dalmatians,-0.5793704489866892,0.2083333333333333,24,38.92278716730118,27.03230116740197,-0.021290144050765125,6.8498331268965345,7.630465589350415,5.651012812683549,-2.4824509020371144,-4.13755462668974,2.2712027943770776,-3.576854567353711
