year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2014,March 14th,The Art of the Steal,Comedy,,61446.00,,,,39670.00,60,1.30,90,Heist,Contemporary Fiction,https://www.the-numbers.com/movie/Art-of-the-Steal-The-(2013)
2013,March 22nd,You Don't Need Feet to Dance,Documentary,,1719.00,,,,1239.00,1,1.00,88,Biography,Factual,https://www.the-numbers.com/movie/You-Dont-Need-Feet-to-Dance
2013,March 22nd,A Resurrection,Horror,39627.00,n/a,39627.00,,,,,,89,Revenge,Contemporary Fiction,https://www.the-numbers.com/movie/Resurrection-A
2013,March 22nd,Rangrezz,Drama,58138.00,6108.00,64246.00,,,4318.00,11,1.20,140,Bollywood,Contemporary Fiction,https://www.the-numbers.com/movie/Rangrezz
2013,March 22nd,MURPH: The Protector,Documentary,,n/a,,,,,,,79,War,Factual,https://www.the-numbers.com/movie/MURPH-The-Protector
2013,March 22nd,The Pardon,Drama,,17518.00,,,,16100.00,8,2.40,120,Prison Break,Dramatization,https://www.the-numbers.com/movie/Pardon-The
2013,March 22nd,Gimme the Loot,Drama,145263.00,99070.00,244333.00,,,21065.00,1,5.00,79,African Americans,Contemporary Fiction,https://www.the-numbers.com/movie/Gimme-the-Loot
2013,March 22nd,Dorfman in Love,Romantic Comedy,,13737.00,,,,8757.00,9,2.10,92,Romance,Contemporary Fiction,https://www.the-numbers.com/movie/Dorfman
2013,March 22nd,InAPPropriate Comedy,Comedy,,228004.00,,,,156414.00,275,1.00,84,Sketch Comedy,Contemporary Fiction,https://www.the-numbers.com/movie/InAPPropiate-Comedy
2013,March 22nd,Come Out and Play,Horror,,2638.00,,,,1600.00,10,1.00,86,Scary Kids,Fantasy,https://www.the-numbers.com/movie/Come-Out-and-Play
2013,March 29th,The Host,Thriller/Suspense,37853350.00,26623701.00,64477051.00,50000000.00,,10600112.00,3202,3.60,88,Alien Invasion,Science Fiction,https://www.the-numbers.com/movie/Host-The
2013,March 22nd,Love and Honor,Drama,60216.00,16769.00,76985.00,,,2815.00,2,1.80,96,Vietnam War,Contemporary Fiction,https://www.the-numbers.com/movie/Love-and-Honor
2013,March 22nd,Admission,Romantic Comedy,726349.00,18007317.00,18733666.00,13000000.00,,6154984.00,2160,3.60,117,Adopted Family,Contemporary Fiction,https://www.the-numbers.com/movie/Admission
2013,March 21st,BÃ„â€ºijÃ„Â«ng yÃƒÂ¹ shÃƒÂ ng xi yÃ‡Å½ tÃƒÂº,Romantic Comedy,82984614.00,n/a,82984614.00,,,,,,121,,Contemporary Fiction,https://www.the-numbers.com/movie/Beijing-yu-shang-xiyatu
2013,March 29th,The Place Beyond the Pines,Drama,25607930.00,21403519.00,47011449.00,15000000.00,,279457.00,4,4.00,140,Unexpected Families,Contemporary Fiction,https://www.the-numbers.com/movie/Place-Beyond-the-Pines-The
2013,March 20th,Eden,Drama,,n/a,,,,,,,98,Asian-Americans,Dramatization,https://www.the-numbers.com/movie/Eden-(2012)
2013,March 22nd,Olympus Has Fallen,Thriller/Suspense,73951336.00,98927592.00,172878928.00,70000000.00,,30373794.00,3098,6.90,120,Political,Contemporary Fiction,https://www.the-numbers.com/movie/Olympus-Has-Fallen
2013,April 26th,The Numbers Station,Thriller/Suspense,36211.00,n/a,36211.00,,,,,,89,Secret Agent,Contemporary Fiction,https://www.the-numbers.com/movie/Numbers-Station-The
2013,March 16th,Platinum Data,,25920896.00,n/a,25920896.00,,,,,,133,,,https://www.the-numbers.com/movie/Platinum-Data
2013,March 18th,Cheech and Chong's Animated Movie,Comedy,,n/a,,,,,,,83,,Contemporary Fiction,https://www.the-numbers.com/movie/Cheech-and-Chongs-Animated-Movie
2013,March 16th,The Met: Live in HD - Francesca Da Rimini,Concert/Performance,,n/a,,,,,,,,,,https://www.the-numbers.com/movie/Met-Live-in-HD-Francesca-Da-Rimini-The
2013,March 15th,Reincarnated,Documentary,,n/a,,,,,,,96,Musicians,Factual,https://www.the-numbers.com/movie/Reincarnated
2006,October 6th,Tales of the Rat Fink,Documentary,,n/a,,,,,,,,,Factual,https://www.the-numbers.com/movie/Tales-of-the-Rat-Fink
2013,March 27th,Welcome to the Punch,Thriller/Suspense,4200068.00,7034.00,4207102.00,,,2736.00,2,1.20,99,Heist,Contemporary Fiction,https://www.the-numbers.com/movie/Welcome-to-the-Punch
2006,October 6th,Mannat,,,53589.00,,,,,,,,Foreign Language,,https://www.the-numbers.com/movie/Mannat
2006,October 6th,Love's Abiding Joy,,,252726.00,,3000000.00,,,,,,,,https://www.the-numbers.com/movie/Loves-Abiding-Joy
2006,October 6th,Love is the Drug,,,n/a,,,,,,,,,,https://www.the-numbers.com/movie/Love-is-the-Drug
2006,October 6th,Little Children,Drama,8658158.00,5463019.00,14121177.00,14000000.00,,97953.00,5,11.70,,Novel or Other Work Adapted by Author,Contemporary Fiction,https://www.the-numbers.com/movie/Little-Children
2006,October 6th,Issues,Comedy,,783.00,,,,783.00,1,1.00,,,,https://www.the-numbers.com/movie/Issues
2006,October 6th,The Texas Chainsaw Massacre: The Beginning,Horror,11000000.00,39517763.00,50517763.00,16000000.00,,18508228.00,2820,4.00,84,Slasher Horror,Historical Fiction,https://www.the-numbers.com/movie/Texas-Chainsaw-Massacre-The-Beginning-The-(2006)
2006,October 6th,Cheech,,,329972.00,,,,,,,,,,https://www.the-numbers.com/movie/Cheech
2006,October 6th,Domestic Import,Comedy,,n/a,,,,,,,102,,,https://www.the-numbers.com/movie/Domestic-Import
2006,October 6th,Kettle of Fish,,,n/a,,,,,,,,,,https://www.the-numbers.com/movie/Kettle-of-Fish
2006,October 6th,Employee of the Month,Comedy,9920000.00,28444855.00,38364855.00,10000000.00,,11407751.00,2579,4.00,108,Delayed Adulthood,Contemporary Fiction,https://www.the-numbers.com/movie/Employee-of-the-Month-(2006)
2006,October 6th,Black Gold,,,93477.00,,,,6764.00,3,7.50,,,,https://www.the-numbers.com/movie/Black-Gold
2006,October 6th,The Departed,Drama,157276304.00,132384315.00,289660619.00,90000000.00,,26887467.00,3017,8.70,151,Corrupt Cops,Contemporary Fiction,https://www.the-numbers.com/movie/Departed-The-(2006)
2006,October 4th,Wrestling with Angels,Documentary,,24729.00,,,,5944.00,1,1.80,,,Factual,https://www.the-numbers.com/movie/Wrestling-with-Angels
2006,October 6th,49 Up,Documentary,,241772.00,,,,,,,,,Factual,https://www.the-numbers.com/movie/49-Up
2006,October 4th,Shortbus,Comedy,,1997497.00,,2000000.00,,107907.00,6,7.20,101,,Contemporary Fiction,https://www.the-numbers.com/movie/Shortbus
2006,October 4th,So Goes the Nation,Documentary,,10337.00,,,,2622.00,4,3.30,,,Factual,https://www.the-numbers.com/movie/So-Goes-the-Nation
2006,October 4th,Blood Tea and Red String,Drama,,n/a,,,,,,,,,Fantasy,https://www.the-numbers.com/movie/Blood-Tea-and-Red-String
2006,September 29th,School for Scoundrels,Comedy,,17807569.00,,20000000.00,,8602333.00,3004,3.00,101,Farcical / Slapstick Comedy,Contemporary Fiction,https://www.the-numbers.com/movie/School-for-Scoundrels
2006,September 29th,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,,24216.00,,,,19111.00,30,1.00,89,,Science Fiction,https://www.the-numbers.com/movie/Strange-Case-of-Dr-Jekyll-and-Mr-Hyde-The-(2006)
2012,March 30th,Mirror Mirror,Adventure,108678315.00,64935167.00,173613482.00,85000000.00,,18132085.00,3603,5.40,95,Royalty,Fantasy,https://www.the-numbers.com/movie/Mirror-Mirror
2012,March 14th,Gerhard Richter Painting,Documentary,1211284.00,242646.00,1453930.00,,,13537.00,1,7.40,97,Artists,Factual,https://www.the-numbers.com/movie/Gerhard-Richter-Painting
