worldwide_box_office,production_budget,theatre_count,runtime,metascore,userscore,expert_score_avg,user_thumbsUp_tot,user_thumbsDown_tot,user_rev_count,year,expert_review_count,expert_positive_ratio,expert_sentiment_mean,user_review_count,user_positive_ratio,user_sentiment_mean,expert_svd_0,expert_svd_1,expert_svd_2,expert_svd_3,expert_svd_4,expert_svd_5,expert_svd_6,expert_svd_7,expert_svd_8,expert_svd_9,expert_svd_10,expert_svd_11,expert_svd_12,expert_svd_13,expert_svd_14,expert_svd_15,expert_svd_16,expert_svd_17,expert_svd_18,expert_svd_19,expert_svd_20,expert_svd_21,expert_svd_22,expert_svd_23,expert_svd_24,expert_svd_25,expert_svd_26,expert_svd_27,expert_svd_28,expert_svd_29,expert_svd_30,expert_svd_31,expert_svd_32,expert_svd_33,expert_svd_34,expert_svd_35,expert_svd_36,expert_svd_37,expert_svd_38,expert_svd_39,expert_svd_40,expert_svd_41,expert_svd_42,expert_svd_43,expert_svd_44,expert_svd_45,expert_svd_46,expert_svd_47,expert_svd_48,expert_svd_49,user_svd_0,user_svd_1,user_svd_2,user_svd_3,user_svd_4,user_svd_5,user_svd_6,user_svd_7,user_svd_8,user_svd_9,user_svd_10,user_svd_11,user_svd_12,user_svd_13,user_svd_14,user_svd_15,user_svd_16,user_svd_17,user_svd_18,user_svd_19,user_svd_20,user_svd_21,user_svd_22,user_svd_23,user_svd_24,user_svd_25,user_svd_26,user_svd_27,user_svd_28,user_svd_29,user_svd_30,user_svd_31,user_svd_32,user_svd_33,user_svd_34,user_svd_35,user_svd_36,user_svd_37,user_svd_38,user_svd_39,user_svd_40,user_svd_41,user_svd_42,user_svd_43,user_svd_44,user_svd_45,user_svd_46,user_svd_47,user_svd_48,user_svd_49,is_drama,is_comedy,is_thriller,is_action,is_romance,is_documentary,is_adventure,is_horror,is_crime,is_sci_fi,is_other_genre,nr_genres,is_season_Autumn,is_season_Spring,is_season_Summer,is_season_Winter,rating_G,rating_M/PG,rating_MA-17,rating_NC-17,rating_Open,rating_PG,rating_PG--13,rating_PG-13,rating_R,rating_Unrated,creative_type_Dramatization,creative_type_Factual,creative_type_Fantasy,creative_type_Historical Fiction,creative_type_Kids Fiction,creative_type_Multiple Creative Types,creative_type_Science Fiction,creative_type_Super Hero,creative_type_Unknown,director_bucket_low_exp,director_bucket_mid_exp,director_bucket_new_director
0,0,13,91,63,7.5,65.8,0,0,2,2013,10,0.9,0.7890726387500763,2,1.0,0.7720671892166138,4.868341971858708,-16.08847348662737,3.1463607109133176,2.9403722891304063,-7.798733804790212,0.8043246755910767,-0.3518992957361232,0.8961723147843286,-2.6454007473278405,1.882558652533404,1.3830306173801896,-3.815143142878526,-1.4981689204642403,1.5662620127475229,-7.994873363801464,1.034504197696756,0.398320155818516,1.969452215058635,1.3554856261706152,-4.594702175564397,-7.087794926258367,0.9633053196741794,-2.1902738436271916,5.066734260890245,-0.9260822233139944,-2.531871867920787,2.8146774589757557,1.131219384385909,-1.1240160690541905,-2.7341764427104476,0.5270764412295894,-1.584398838378376,1.085397520326212,4.217114448589999,4.075272217988255,-2.091438051060991,-1.1789573812613074,2.1102671080082436,-0.82060932847671,0.2591213601042262,-1.594259173696378,2.0035899374395685,-0.1427777274527469,1.932818071288511,0.0507016168424993,0.969004704218664,-1.8743084986477556,1.8277789167345,-1.0969885297993456,0.1012840785145695,16.86526845427437,-11.756055132019696,3.2673219262654376,-8.45078414877283,4.35747361799725,8.001502960802345,-0.3240777662919921,-0.1042385562084227,-0.0716282327550787,0.6878112659182478,-1.972835536837974,-2.06057741925596,-3.6128394450648225,-5.652800622218469,-7.277195194713325,3.953657743328989,2.609744146190514,1.25025296184441,-5.300910292154557,0.1706987242984166,-2.5809521132725575,1.375165761352724,0.2815276280030111,0.8391227852916804,0.798978987709964,-4.232598037185467,1.289410632821591,3.402665221125205,0.1462900313342998,-0.1574646620818928,-1.8095283473568249,3.160782439255891,-4.333867897731387,0.8692560036357422,-0.8301701875649151,1.2514310507525424,-1.4154944784656436,-0.8807929180552496,-0.9689470225192108,2.1400119627184138,-1.064524218173174,0.7784354947880711,-1.947313535352264,1.7235044978823226,1.233508827471994,0.7711367795528355,-1.107751629781874,2.6740294559105418,-1.4790688484471908,0.4290384737922849,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,85000000,2704,100,35,5.1,42.291666666666664,4,1,10,2000,24,0.2083333333333333,-0.5793704489866892,10,0.6,0.1935946226119995,38.9227872263017,27.032301607962495,-0.0213011195542782,6.849805421710183,7.630377734436278,5.651259663668351,-2.4819620733705854,-4.137616152856411,2.2741190623524488,-3.57414501112811,-4.060162961572332,2.394774292957763,3.043125851420613,-1.5226020066647936,-4.569494516509337,0.2107815745847359,0.3710285698756148,-0.0343853642561534,0.805579469513962,1.00644076153063,-0.6541818160213075,-0.1928068728326545,-0.962427758946215,0.8379276797130708,-0.9315575303710932,0.2644248472493883,-0.3761370896226199,2.96655789226389,0.0317397798487506,1.3793650733693146,-0.3626644205813129,-0.532560993656013,1.1332028424089025,0.960149819778654,1.373882251433722,0.5990636098930322,1.272848480468222,0.8571942886143893,-3.3533655727804157,1.0144061511307425,-3.867068201295383,1.078906374561326,-1.1375869774827083,1.2964347870639683,-1.7182426646822235,0.379262905405821,0.0757034196737789,0.1685402691206384,0.2872411307908692,0.6767604686969109,8.471935008376237,4.316020050355832,5.938545261456641,5.2865034449668205,3.0761806975000066,2.2408168695658843,-1.5329875762647038,1.2479253170733096,-0.0136637665146009,-0.0693178288387736,0.9608673497934588,-2.5933503880165554,1.7829856992779405,-2.0306121842261766,-2.135830542601759,-1.5135810303298372,-1.7316896523177814,-2.4535012275988115,-3.1184114354929853,1.6568198332021418,2.419307203559862,-0.9638504340036428,-1.1049589839740364,0.1105461850605892,-1.7592147276538073,1.4344889446342832,1.1643390952948462,0.9162467580628156,-1.6777723515080265,-0.3908166799836524,-1.3323837322789291,-0.9654639606794216,-0.3841650212225675,0.7724177915704067,0.827912488728562,0.776609937510131,1.103860913737319,-0.5433872258025192,-0.0798639293813537,0.4402313584857239,0.5037861225746726,-0.5816001449953425,-0.6585831593956663,-1.8577622756366772,-0.7961734956491768,-0.058505460278911,0.8549744074853817,-0.1375638894748264,0.2812871855869376,0.1832106530315202,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,12,87,63,5.8,63.30769230769231,0,0,1,2020,13,0.8461538461538461,0.6831737665029672,1,0.0,-0.9995299577713012,-5.8868805899216134,-17.079823666324724,-8.548501738034886,-5.356570971869799,8.042839970494093,-5.381900727054302,-0.432370133822452,-3.567538127282466,-0.5681018860869073,1.2951093766082722,-0.4525717023634631,0.6557001160692001,3.605312557040517,0.300235689813442,-1.0775280730709054,-6.681354834089781,0.2722879401144852,3.0341783613754956,3.456724165816681,1.4918830855065877,-0.3049005849704279,-2.767549052490012,2.006918081439849,1.9874005341723175,0.2872516568733267,-3.334579793337117,-1.5449619254772673,-0.6976707496625983,-1.680159268422045,0.2770868584165438,-0.5113721016462031,-0.7479889466643383,-0.2097983183324988,4.0298299004528495,-2.187477450451367,-4.429347189103409,-0.4484921401493773,0.506058022041787,2.3667512420942116,-3.971637596413618,2.8849592865511235,0.3709302134562577,-0.4338489374884369,-2.5486658616839097,-0.8446889451927562,-0.6651766757619244,1.3542202441136937,0.8885214052504016,-0.3518256659505536,1.2249614684670482,5.0225771960327945,11.834956544790792,0.2073861198851508,9.749670815402077,-11.18787975894852,7.4118732859569665,-3.480264924130568,-5.6436639281971,-3.735025034198455,-5.518158688734325,16.37440760726016,0.876664146799863,-1.850076420744656,0.7589719768002172,0.808847454961376,-5.7994914828466255,-0.5372123765755288,0.1451159637975499,0.7139094276399084,-1.1111654331186318,0.7962098786699805,-5.478183633896354,2.1739312944717,4.105098546313016,4.8989981714524875,3.653163815679833,1.0499064486794183,-0.8930249120252655,-6.069922421216258,7.772496571404506,-2.256320253693915,5.275090948484109,-5.815334481688614,1.997258076603262,2.125009910828845,-0.6649364510443072,-4.382410880900126,-1.454520363611575,-1.090899329242752,0.313352483320082,1.7191942201219383,2.1554402628043317,-3.571342022028368,-0.7835445199171028,-5.677423309590206,2.4032443817442957,-2.417385705144015,2.70390863219744,-0.7173236327113104,-4.117620946119102,0,1,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,93,61,7.4,65.76,0,0,7,2006,25,0.56,0.1402336621284484,7,0.5714285714285714,0.1359964183398655,-3.886710999525326,2.955391416114451,-1.3875276731143322,10.330165523234529,2.1458875394854764,0.3833908161524593,-7.5905966345940445,-0.5592119482179246,-1.7179141750285067,3.414013323793664,-1.5930807175325763,-0.2105507773597085,-2.0090084402523094,-0.486041241568327,-0.1559478028797662,-0.2449434801378208,-2.7237482075303134,-0.3887362246538259,-4.332126819164563,-1.7389663432967817,-3.979147470370672,-0.5298162942345314,-0.8361458450862438,-1.4861566306548877,-0.7471011430993402,-0.0485982862615601,0.5594581262976277,1.102489526570896,1.568910748681153,-1.2706338377031692,-2.367754624898698,-1.1601107034205105,-0.3905003458276651,2.6415906290654494,0.491310002627625,1.9573916090967889,1.641189746450599,0.3672264994345882,0.5000937535945255,1.519382068067396,-2.6612851210505273,-2.542920824623476,2.290350879524616,-1.1136536350910298,1.5282820419770933,-1.3761406457857404,-0.3224577837334714,0.9137390022314476,1.611505046330601,-1.3366762886344894,10.1587175030672,-1.3066360899494325,-4.895152577982731,-2.112561680310284,-0.17506766329929,4.192701499533397,1.2563403426576425,-1.6632062136247052,6.031428530431369,4.18910198720023,1.2254732669508452,0.9507185097878909,0.8917290131742913,4.088755285379337,-0.0577876124150808,-0.5348879778855896,-1.6297732747786111,-0.558743510151487,0.0969876140264139,-0.3874963020228937,1.1457669846280374,-1.5385549409496084,-0.2133641600112708,-0.10366322456114,0.9104035912704822,1.7027320953125304,-2.056137920173644,-0.0618351453444798,1.169105420130649,0.6721078919668468,-0.8075952676290212,-1.2428811123118466,-1.186262153489263,1.0416056517704957,2.541156826255638,0.8042591175258006,0.4567880845369242,0.4153519617790624,-0.078591589939387,0.8013890046627067,1.6527342605882305,-1.3775657572504267,-0.3360900987988931,-0.8761897996788555,-0.1305622675201121,0.1811293647269681,-0.2513695778200895,-0.5027505588601541,-0.6004309152103613,1.3070566987879688,1,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,78,51,4.9,53.8,0,0,1,2014,10,0.6,0.1649049997329711,1,1.0,0.9998494386672974,1.944779193315057,1.034101443769543,13.2990007985635,-7.731766885193324,2.315858794662446,1.9264495927491565,1.9422751751599936,7.786304455651782,5.276406359448334,-4.362219362325261,3.2129116317728545,-1.5822239254831545,2.8266659125318494,1.739373876154978,-1.9218194084076128,-5.395388673869532,-2.8210305748612585,-4.853439210303576,1.8522387018593776,0.8748602237624921,-0.5222300811206115,3.451768329345275,6.405606209252035,0.6981443898297957,-0.2255142676250173,-2.349638500849866,3.940363828330778,0.278541962309326,-0.4272477847017101,3.97159208072853,-4.374297611801521,2.9759023682264,1.495320439081142,0.7721689980350895,-3.898735142994328,0.0154874556362179,1.8156305814612044,0.92242400267405,1.709423482051607,-1.0436437006909385,2.830282092886707,2.3527430922430312,-0.8229957591803322,-1.5209505781862689,-0.1471687222301092,0.5272352689375931,-1.272799389857149,1.2469700601293665,1.5453163912109664,-0.0904028990286636,13.204409428027802,-2.1329749218084237,3.3214301248114344,-3.005435715665296,2.2112112040010627,-12.236070534227428,2.0606990799300124,-3.068002962979574,-2.452142607600373,6.134929604719181,-3.926754801124469,1.197143301812779,-0.5738209433225799,-0.931861144954966,4.472816257070817,2.7090935166651833,-1.577931750370572,3.48570212642407,-0.7794582729328994,2.6973904425044557,1.257329871020624,-1.6441870751710117,-2.4262206614673563,-0.5544053634735331,-0.7759779256873988,-1.2748012081696167,-2.1263242869465904,-0.0779093982919973,0.0378008828727005,-2.1027230792653815,-2.5170118656148466,-0.091505070084495,1.340271439557282,-4.506123749946169,-0.8107276868772261,-3.3876651261778004,1.0320275308853055,2.0094503211429067,1.276129447806829,0.1286611282332552,-1.9049309947290964,-1.720649830676429,-1.466564270599526,-0.6664410998614122,-0.2161384945407779,-1.0046600533805583,0.6278000424317052,1.2078096089438193,-1.6068520853309638,0.499875880509146,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,1000000,617,98,45,3.8,50.1,0,0,1,2014,10,0.6,0.1991555333137512,1,0.0,-0.9667888283729552,-6.18702392185208,-8.697373453991997,-11.877945642924344,0.6695605270645786,0.6574280198267305,0.379516608736449,8.995143721191024,0.4125699671063473,-6.596028711901973,-1.0565064332704976,6.272501144086759,-0.973259219731014,0.8673054167755259,-4.965895514776961,-3.170691515633066,-1.350427400039073,1.29929221839513,-2.8881140551662545,0.3316680297957579,4.436171670765022,-1.3512125597153355,1.9353443496103528,1.447717456449959,0.7184813548511684,-0.8096574399423424,1.1651178856845394,1.9970407709521256,0.0729336193128636,1.8222655860762085,-0.2517616642330325,-1.4954050520861957,-1.9406987703511993,-1.4879607220993338,1.5664962347202356,1.3170156294411228,0.3313816160438387,1.410912083137149,-2.321147000914127,2.0773957008375397,-0.2913701213579539,1.2025367341284623,-0.021617683626117,1.9488723846714568,1.7477184559046324,-2.2790547480206267,-0.7627781529905353,-0.1460963219075201,0.3767429868537576,-1.001104336432575,0.0297432350772353,19.3005019032439,-26.27814442104415,6.321058782227734,-11.826139788756263,6.597407249036029,0.0404825006237951,-4.320801057522688,5.299929544968671,0.5467016585842935,5.353795013493859,5.733123544369071,-5.089300341984963,-1.726290860074508,1.0255166877778277,5.532118490151991,1.7851215871631956,4.651792573837225,-5.756652977115008,5.086924387763173,0.4253245746412694,1.5598733608394593,-4.022357614613511,-4.213038160033488,0.4596361730179332,-0.897984101502691,2.1634092354785595,-0.5863619938644109,-0.378318864385735,0.0789856739406544,-1.4432770062621711,-0.753206950854489,-1.5508203818881858,2.143013119218547,-1.9238285507151924,0.2818775434413956,2.1814575631928395,-1.0513551262292455,-3.2625486652546956,-2.282960760315939,0.6561432363563058,0.152270728340597,0.4168708815171563,0.9281713010738784,0.9188459262503113,-0.130208896520962,-0.037754209901635,-1.356138036498005,-2.405657075886034,-1.3217953193092704,-0.3438716826669526,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,80,42,3.0,45.4,0,0,0,2014,10,0.3,-0.4122463643550872,1,1.0,0.9542653560638428,-4.116201843824376,-1.2322835689003744,-3.2329700330791455,5.358259004018984,-3.4626825689041305,-5.874470241758424,0.1470727442634482,-2.948455046649732,-3.8458163427161782,-3.0591615056726624,-1.3536479483438209,-8.036892778405468,4.5975929364753085,1.1146639929747968,4.01436547688758,-0.015160969925044,-2.8752030159291047,0.4131675093727645,-2.7946579972694874,-1.9843454468989896,-0.8014814381775908,2.4285010087348304,-3.3877724863595127,1.2744258662397454,-0.3299078964523974,0.182763686932616,1.4106374164699451,1.5909743415002118,-0.9196097039312632,0.763010838639758,0.0020470232385954,1.7615422526929536,-1.7917967009587903,-0.5520550941235692,-0.2117212757378837,0.639217679526283,1.5649874062581048,-2.7373359067275858,0.7867821677249554,-0.0132245026731289,3.0845972936174455,-1.0547469480304326,1.9449295079127005,-2.3898809105472885,-0.2543476981834596,-0.5525061648462843,2.7731823572530736,0.4122115940837063,-0.389154647664886,-0.0059079765824172,-37.55071218466298,-1.3605625065408278,0.2949310109489117,-0.5011104927915495,-0.0665735057960425,0.141298286087269,0.0142112588922186,0.081676556348709,-0.1933293873872503,0.0962713198226477,-0.1216990947066548,-0.071067840379269,0.1705940301581557,-0.0391636797344483,-0.0330510019405686,-0.0247198654751838,-0.0154347085620841,0.0116479763160596,0.0968220580804684,0.0058098669769582,-0.0545190798184995,0.0108385414934323,0.0497976451884958,0.0230698228011987,0.0816264798312068,-0.0121340562359581,0.030687805953826,-0.0111392089456462,-0.0045849372987372,-0.0144835764168116,0.0184958778493038,-0.0177064864656771,0.0046843661087744,0.0181560139493306,-0.0260152805746254,-0.0019893097740777,-0.0036555587263813,-0.0211778128107751,-0.0270022083227733,-0.0406539440185207,0.0079388538477291,0.0030040784133435,-0.0064358359290692,0.0005611722854332,0.0170091040288946,-0.0020269274140356,-0.0040699563233051,-0.0159898628791327,-0.0096322932394734,0.0324226747915833,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,82,50,5.1,50.4,0,0,1,2012,10,0.4,-0.1987465441226959,1,1.0,0.9992445707321168,-3.470971583171647,2.850594700911953,-3.379007674713426,-1.6328681661583515,-2.32370263855827,-7.198156287047357,1.3214771147944662,-5.184917896246816,2.336086218318948,-3.248382342834536,1.0600121892105283,-4.990710351187114,-0.6749892449739201,1.248626951350882,-1.4825539418354323,0.6252964393572547,-3.439350271901178,4.139857672980692,-3.3062202018936135,1.5720048037934349,2.9675410516941323,5.940786877471996,-0.3296900576247354,1.2977378567361362,1.4289495692818932,-2.9860077991642813,-0.0708706920429282,-0.904622330131326,-1.9173678541067225,5.027207728506291,-0.3460854925819703,-0.6600022256888287,0.2919503825018735,-0.1803791079766807,-0.8597058951766152,-2.1864858193047843,1.581987413947561,0.2480177905647045,-2.8926678663659127,-0.0514507373356746,0.1604406810064069,-1.2995737356924486,-0.4428245867822493,1.1705943014513756,0.7244480647074415,-2.192789922428656,1.848555303094078,0.0185793573389804,-2.8783583845436773,-0.1640761576446734,11.307888307109597,-9.603582649652168,-8.486049725822319,1.205418462721086,-7.87531070969752,-8.71056412607781,1.8553406926875649,-1.5047069234987414,-7.946241718792577,-6.13336120273455,-7.508213859868127,0.6963280539603838,3.541952835764729,1.222022640557464,4.387225852462005,-1.54746066291958,-6.826799582282211,-2.1596168946574585,-4.151430828325345,1.4766417671890888,10.117661267919155,0.1975319980152763,-1.0566728045435023,-1.27802904435764,0.1550130707427216,-3.246595866294225,-0.0722312237792418,3.693246622852275,3.297027439786465,-5.714357114623553,4.964459136220318,2.8101451510087165,2.526033060767203,2.0454897750424097,-1.947908706056843,-2.583734264768885,-3.058292705963324,-1.469178304966933,-1.19556326155936,1.4277422966534687,2.55436208029523,3.525392977649773,0.3574554458197299,-3.0120063019827983,-4.388075773554177,1.4666316372614974,-1.188467432461404,-2.708522106811838,2.93232789624659,0.7973963038554504,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,89,51,4.8,51.22222222222222,0,0,1,2012,9,0.1111111111111111,-0.7596727940771315,1,0.0,-0.5193689465522766,16.345535717326715,-0.2212295521403653,-9.01976126736408,3.793760250832334,3.872009174082734,-7.381560253725103,-0.8198520989833288,0.1950102015993566,-5.599619853053445,-2.0345329292636034,-3.129362289219784,1.026345261033093,-0.3186766015805387,-6.105746592448067,-0.987793194417969,1.6674579775823848,2.825878025122756,5.5883445903328814,-2.427068501382702,1.7574069297825186,2.860696924049583,1.508331085082594,1.9909078772205109,1.0883975821156633,2.084364872252804,2.3341911642541815,-2.2522528808902487,5.057418778120882,-2.7990887770816864,-0.2255232236163006,-0.861825124511548,0.774324792522471,-2.6537669513968036,-0.1611927159856662,0.9658593165890598,-2.4779129906650006,-0.5733010985084361,-2.017374085193017,-3.096331556379763,0.4952646261714866,0.9342512873993092,1.50671075495644,-1.2030310364485246,-1.9820922487971804,2.3652918753415073,-1.5906753508205087,-0.5460596204946313,0.8921121388549151,-0.6579067783101996,0.9126367135244948,4.6761199149123645,5.73845087917142,1.352167758456233,12.068494456067484,-10.891198288306226,-6.948151135563932,-0.5249836269110597,5.190125688702107,9.319147920541496,-2.8826100705910047,-10.716274745025414,5.813191522178121,-13.787480265201664,-2.29060278035974,3.681070952611634,-5.64008487540068,7.214459284295364,7.953262967269085,6.373967217222712,16.336242823193825,-2.294979698024133,4.163364947307452,-3.7980171496236705,-2.9098170160112984,8.473965669041059,0.5035043971798588,11.10065542406463,-1.7844428249199866,4.273233273160845,-2.448157476388488,-0.0842331707056089,0.2645113413657265,-1.260886215886872,4.359278796155767,-0.7670648554983561,2.8944394952930494,3.2787171773808153,3.4852272858704616,-3.2607470181397344,-0.7387418119146303,0.3597394310768491,3.005709820491888,-0.7543805078677002,1.2867624173359076,-0.3411987188354642,1.51384552659942,1.8665689402703816,-2.7642429527635306,2.4995223951586216,1.7325325860555498,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,300000,1,88,69,6.7,69.22222222222223,0,0,1,2011,9,0.6666666666666666,0.3351091212696499,1,0.0,-0.9980276226997375,-4.288284075393001,10.976104286997945,-2.759366045015536,-3.3698880364548405,-4.734671972433772,2.7246265348366916,-2.105389004232265,1.5762114340355504,-1.8127192834058723,0.6579839168888596,-2.1610284351144293,-3.4270669518906476,0.1786295036507841,0.0314156106033541,0.0976461901027312,-0.4357278351010619,-1.7703414458231574,3.6351926271811648,-1.472600178199699,3.1966436027639764,-4.897880277866677,2.13284030768987,-1.7754884585149973,-0.19115258206078,0.3899986427202027,-4.951092577507516,3.4147195958605714,0.0734661041929686,1.5904682402183663,0.4974679736050427,0.3918179931545081,1.8166895679431392,3.10310413525917,-2.3130745487291207,-2.5838371272000584,-1.6345439917441578,2.882708642154953,2.0273461903463375,-1.285418509583553,0.4727559121936699,-0.3813991070317888,-1.7215889067857608,-1.179558685724749,-2.097162837948665,-1.368115463826853,-0.4622067203204189,-1.5413681832470254,-0.3474919997001001,-0.925952111184992,1.4860474061006663,9.312801177343044,16.579820067202895,-1.1183160066735434,-2.5007520127021157,-5.163601065527485,6.693388211524137,0.8712656281470663,6.166671256828038,-0.8055358336071609,-3.4984448577743725,-3.252722261684612,1.9851480868389488,-4.423968754042801,-0.7589751059792176,-4.876564797726581,-1.191712303360193,-3.321653920149284,2.3260729425241995,-1.9830300791834596,-0.2122177286565958,-2.294186696907985,-0.7157274183264263,-1.575317110413264,4.216711103195454,-0.5933157935924498,-0.1936317717970682,0.7800197968198003,4.305653635583766,-0.1990303720540681,-3.83820713678788,7.737775506908839,-3.844869296340978,3.5646959854552316,-1.8293059107332756,-1.0773786776358056,4.1156191321414,-0.765527037007705,1.6595006532462662,-2.136673896063789,-1.4619986768954305,-1.8561011508557432,-3.401537562967982,3.631318209813778,0.6782354974162231,0.1640921600742708,-1.8831958706274192,1.6223870930775224,-1.3180347460331872,-2.407335141272177,-0.8976855864834291,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
